10		100		0		38		3.8		5		2.6315789473684212		38
10		100		0		29		2.9		6		3.4482758620689653		29
10		100		0		35		3.5		3		2.857142857142857		35
10		100		0		27		2.7		7		3.7037037037037037		27
10		100		0		20		2.0		8		5.0		20
10		100		0		29		2.9		3		3.4482758620689653		29
10		100		0		29		2.9		8		3.4482758620689653		29
10		100		0		35		3.5		6		2.857142857142857		35
10		100		0		31		3.1		7		3.225806451612903		31
10		100		0		25		2.5		6		4.0		25
10		100		0		27		2.7		7		3.7037037037037037		27
10		100		0		20		2.0		6		5.0		20
10		100		0		17		1.7		9		5.882352941176471		17
10		100		0		34		3.4		6		2.9411764705882355		34
10		100		0		20		2.0		9		5.0		20
10		100		0		32		3.2		5		3.125		32
10		100		0		21		2.1		7		4.761904761904762		21
10		100		0		30		3.0		5		3.3333333333333335		30
10		100		0		20		2.0		9		5.0		20
10		100		0		33		3.3		5		3.0303030303030303		33
10		100		0		38		3.8		5		2.6315789473684212		38
10		100		0		29		2.9		6		3.4482758620689653		29
10		100		0		35		3.5		3		2.857142857142857		35
10		100		0		27		2.7		7		3.7037037037037037		27
10		100		0		20		2.0		8		5.0		20
10		100		0		29		2.9		3		3.4482758620689653		29
10		100		0		29		2.9		8		3.4482758620689653		29
10		100		0		35		3.5		6		2.857142857142857		35
10		100		0		31		3.1		7		3.225806451612903		31
10		100		0		25		2.5		6		4.0		25
10		100		0		27		2.7		7		3.7037037037037037		27
10		100		0		20		2.0		6		5.0		20
10		100		0		17		1.7		9		5.882352941176471		17
10		100		0		34		3.4		6		2.9411764705882355		34
10		100		0		20		2.0		9		5.0		20
10		100		0		32		3.2		5		3.125		32
10		100		0		21		2.1		7		4.761904761904762		21
10		100		0		30		3.0		5		3.3333333333333335		30
10		100		0		20		2.0		9		5.0		20
10		100		0		33		3.3		5		3.0303030303030303		33
10		100		0		14		1.4		12		7.142857142857143		14
10		100		0		42		4.2		3		2.380952380952381		42
10		100		0		18		1.8		11		5.555555555555555		18
10		100		0		29		2.9		6		3.4482758620689653		29
10		100		0		22		2.2		7		4.545454545454546		22
10		100		0		49		4.9		6		2.0408163265306123		49
10		100		0		28		2.8		6		3.5714285714285716		28
10		100		0		31		3.1		5		3.225806451612903		31
10		100		0		28		2.8		8		3.5714285714285716		28
10		100		0		30		3.0		5		3.3333333333333335		30
10		100		0		23		2.3		8		4.3478260869565215		23
10		100		0		35		3.5		8		2.857142857142857		35
10		100		0		40		4.0		5		2.5		40
10		100		0		27		2.7		8		3.7037037037037037		27
10		100		0		17		1.7		11		5.882352941176471		17
10		100		0		23		2.3		8		4.3478260869565215		23
10		100		0		38		3.8		7		2.6315789473684212		38
10		100		0		23		2.3		9		4.3478260869565215		23
10		100		0		30		3.0		7		3.3333333333333335		30
10		100		0		24		2.4		7		4.166666666666667		24
10		100		0		36		3.6		4		2.7777777777777777		36
10		100		0		32		3.2		5		3.125		32
10		100		0		26		2.6		5		3.8461538461538463		26
10		100		0		28		2.8		7		3.5714285714285716		28
10		100		0		24		2.4		7		4.166666666666667		24
10		100		0		48		4.8		4		2.0833333333333335		48
10		100		0		24		2.4		7		4.166666666666667		24
10		100		0		27		2.7		6		3.7037037037037037		27
10		100		0		26		2.6		6		3.8461538461538463		26
10		100		0		33		3.3		5		3.0303030303030303		33
10		100		0		23		2.3		6		4.3478260869565215		23
10		100		0		45		4.5		4		2.2222222222222223		45
10		100		0		18		1.8		9		5.555555555555555		18
10		100		0		30		3.0		4		3.3333333333333335		30
10		100		0		27		2.7		8		3.7037037037037037		27
10		100		0		21		2.1		8		4.761904761904762		21
10		100		0		24		2.4		5		4.166666666666667		24
10		100		0		48		4.8		6		2.0833333333333335		48
10		100		0		46		4.6		4		2.1739130434782608		46
10		100		0		32		3.2		6		3.125		32
10		100		1e-05		27		2.7		6		3.7037037037037037		27
10		100		1e-05		19		1.9		8		5.2631578947368425		19
10		100		1e-05		23		2.3		7		4.3478260869565215		23
10		100		1e-05		33		3.3		5		3.0303030303030303		33
10		100		1e-05		45		4.5		3		2.2222222222222223		45
10		100		1e-05		41		4.1		7		2.4390243902439024		41
10		100		1e-05		23		2.3		8		4.3478260869565215		23
10		100		1e-05		18		1.8		9		5.555555555555555		18
10		100		1e-05		30		3.0		6		3.3333333333333335		30
10		100		1e-05		34		3.4		10		2.9411764705882355		34
10		100		1e-05		24		2.4		6		4.166666666666667		24
10		100		1e-05		30		3.0		2		3.3333333333333335		30
10		100		1e-05		19		1.9		10		5.2631578947368425		19
10		100		1e-05		35		3.5		2		2.857142857142857		35
10		100		1e-05		32		3.2		8		3.125		32
10		100		1e-05		25		2.5		5		4.0		25
10		100		1e-05		22		2.2		5		4.545454545454546		22
10		100		1e-05		26		2.6		7		3.8461538461538463		26
10		100		1e-05		28		2.8		5		3.5714285714285716		28
10		100		1e-05		27		2.7		10		3.7037037037037037		27
10		100		1e-05		19		1.9		7		5.2631578947368425		19
10		100		1e-05		32		3.2		5		3.125		32
10		100		1e-05		44		4.4		5		2.272727272727273		44
10		100		1e-05		42		4.2		6		2.380952380952381		42
10		100		1e-05		23		2.3		10		4.3478260869565215		23
10		100		1e-05		50		5.0		4		2.0		50
10		100		1e-05		25		2.5		6		4.0		25
10		100		1e-05		39		3.9		5		2.5641025641025643		39
10		100		1e-05		26		2.6		6		3.8461538461538463		26
10		100		1e-05		44		4.4		3		2.272727272727273		44
10		100		1e-05		27		2.7		8		3.7037037037037037		27
10		100		1e-05		30		3.0		4		3.3333333333333335		30
10		100		1e-05		34		3.4		6		2.9411764705882355		34
